First_Name,Last_Name,Gender,Discipline,Event(s)/ Position ,Previous Olympic Experience,Gold Medals,Silver Medals,Bronze Medals,Height,Weight,Start of Games,Birth Date,Age (As of 2/8/18),Birthplace,Birth State,Hometown,Home_State,Most_Recent_School,Military (Rank - Branch),Twitter Handle,Kids,Foreign Languages
Amanda,Pelkey,F,Ice Hockey,Forward,,,,,"5'3""",135,2/8/2018,5/29/1993,24,Randolph,Vt.,Montpelier,Vt.,University of Vermont,,@Pelkey21,,
Emily,Pfalzer,F,Ice Hockey,Defense,,,,,"5'3""",125,2/8/2018,6/14/1993,24,Buffalo,N.Y.,Buffalo,N.Y.,Boston College,,@EmilyPfalzer,,
Alex,Rigsby,F,Ice Hockey,Goalie,,,,,"5'7""",150,2/8/2018,1/3/1992,26,Downers Grove,Ill.,Delafield,Wis.,University of Wisconsin-Madison,,@aRigs33,,
Maddie,Rooney,F,Ice Hockey,Goalie,,,,,"5'5""",145,2/8/2018,7/7/1997,20,Andover,Minn.,Andover,Minn.,University of Minnesota Duluth,,@maddie_rooney39,,
Haley,Skarupa,F,Ice Hockey,Forward,,,,,"5'6""",140,2/8/2018,1/3/1994,24,Washington DC,,Rockville ,Md.,Boston College,,@skrooops28,,
Lee,Stecklein,F,Ice Hockey,Defense,2014,,1,,"6'0""",175,2/8/2018,4/23/1994,23,Minneapolis,Minn.,Roseville,Minn.,University of Minnesota,,@LeeSteck2,,
Mark,Arcobello,M,Ice Hockey,Forward,,,,,"5'8""",170,2/8/2018,8/12/1988,29,Milford,Conn.,Milford,Conn.,Yale University,,@sporkabella,,
Chad,Billins,M,Ice Hockey,Defense,,,,,"5'10""",185,2/8/2018,5/26/1989,28,Port Huron,Mich.,Marysville,Mich.,Ferris State University,,@chadbillins4,,
Jonathan,Blum,M,Ice Hockey,Defense,,,,,"6'1""",195,2/8/2018,1/30/1989,29,Long Beach,Calif.,Ladera Ranch,Calif.,Trabuco Hills High School,,@JonBlum7,Yes,
Will,Borgen,M,Ice Hockey,Defense,,,,,"6'2""",195,2/8/2018,12/19/1996,21,Fargo,N.D.,Moorhead,Minn.,St. Cloud State University,,@wborgen19,,
Chris,Bourque,M,Ice Hockey,Forward,,,,,"5'8""",180,2/8/2018,1/29/1986,32,Boston,Mass.,North Reading,Mass.,Boston University,,@cbourque17,Yes,French
Bobby,Butler,M,Ice Hockey,Forward,,,,,"6'0""",189,2/8/2018,4/26/1987,30,Marlborough,Mass.,Marlborough,Mass.,University of New Hampshire,,,Yes,
Ryan,Donato,M,Ice Hockey,Forward,,,,,"6'1""",196,2/8/2018,4/9/1996,21,Boston,Mass.,Scituate,Mass.,Harvard University,,@donatoryan,,
Matt,Gilroy,M,Ice Hockey,Defense,,,,,"6'1""",200,2/8/2018,7/20/1984,33,Mineola,N.Y.,Bellmore,N.Y.,Boston University,,,,
Brian,Gionta,M,Ice Hockey,Forward,2006,,,,"5'7""",175,2/8/2018,1/18/1979,39,Rochester,N.Y.,Rochester,N.Y.,Boston College,,@giostyle21,Yes,
Jordan,Greenway,M,Ice Hockey,Forward,,,,,"6'5""",235,2/8/2018,2/16/1997,20,Canton,N.Y.,Canton,N.Y.,Boston University,,@JGreenway12,,
Ryan,Gunderson,M,Ice Hockey,Defense,,,,,"5'9""",170,2/8/2018,8/16/1985,32,Philadelphia,Pa.,Bensalem,Pa.,University of Vermont,,,,
Chad,Kolarik,M,Ice Hockey,Forward,,,,,"5'11""",185,2/8/2018,1/26/1986,32,Abington,Pa.,Abington,Pa.,University of Michigan,,@cekolarik,Yes,
David,Leggio,M,Ice Hockey,Goalie,,,,,"6'0""",185,2/8/2018,7/31/1984,33,Buffalo,N.Y.,Buffalo,N.Y.,Clarkson University,,@dleggio33,Yes,
Broc,Little,M,Ice Hockey,Forward,,,,,"5'9""",170,2/8/2018,3/24/1988,29,Phoenix,Ariz.,Rindge,N.H.,Yale University,,@BLittle14,,
Brandon,Maxwell,M,Ice Hockey,Goalie,,,,,"6'1""",196,2/8/2018,3/22/1991,26,Winter Park,Fla.,Winter Park,Fla.,Pioneer High School,,@_bm31,,
John,McCarthy,M,Ice Hockey,Forward,,,,,"6'1""",195,2/8/2018,8/9/1986,31,Boston,Mass.,Boston ,Mass.,Boston University,,,,
Brian,O'Neill,M,Ice Hockey,Forward,,,,,"5'9""",174,2/8/2018,6/1/1988,29,Philadelphia,Pa.,Yardley,Pa.,Yale University,,@brian22oneill,,
Garrett,Roe,M,Ice Hockey,Forward,,,,,"5'9""",178,2/8/2018,2/22/1988,29,Fairfax,Va.,Vienna,Va.,St. Cloud State University,,@theroeboat11 (private),,
Bobby,Sanguinetti,M,Ice Hockey,Defense,,,,,"6'2""",190,2/8/2018,2/29/1988,29,Trenton,N.J.,Wilmington,N.C.,The Lawrenceville School,,@sangs2224,Yes,
Jim,Slater,M,Ice Hockey,Forward,,,,,"6'0""",200,2/8/2018,12/9/1982,35,Petoskey,Mich.,Lapeer,Mich.,Michigan State University,,@slaterjim,Yes,
Ryan,Stoa,M,Ice Hockey,Forward,,,,,"6'3""",210,2/8/2018,4/13/1987,30,Minneapolis,Minn.,Bloomington,Minn.,University of Minnesota,,,,
Troy,Terry,M,Ice Hockey,Forward,,,,,"6'0""",179,2/8/2018,9/10/1997,20,Denver,Colo.,Highlands Ranch,Colo.,University of Denver,,@troyterry1997,,
Noah,Welch,M,Ice Hockey,Defense,,,,,"6'4""",215,2/8/2018,8/26/1982,35,Newton,Mass.,Brighton,Mass.,Harvard University,,,Yes,
James,Wisniewski,M,Ice Hockey,Defense,,,,,"6'0""",205,2/8/2018,2/21/1984,33,Farmington Hills,Mich.,Canton,Mich.,Canton High School,,@jameswisniewski,,
Ryan,Zapolski,M,Ice Hockey,Goalie,,,,,"6'0""",203,2/8/2018,11/11/1986,31,Erie,Pa.,Erie,Pa.,Mercyhurst College,,@rzapolski,,
Summer,Britcher,F,Luge,Singles,2014,,,,"5'10""",170,2/8/2018,3/21/1994,23,Baltimore,Md.,Glen Rock,Pa.,DeVry University,,@summerbritcher,,
Erin,Hamlin,F,Luge,Singles,"2006, 2010, 2014",,,1,"5'7""",156,2/8/2018,11/19/1986,31,New Hartford,N.Y.,Remsen,N.Y.,DeVry University,,@erinhamlin,,
Emily,Sweeney,F,Luge,Singles,,,,,"5'5""",148,2/8/2018,3/16/1993,24,Portland,Maine,Suffield,Maine,Suffield High School,Sergeant - Army,@ecsluge,,
Justin,Krewson,M,Luge,Doubles,,,,,"6'2""",175,2/8/2018,7/24/1996,21,Brookhaven,N.Y.,Eastport,N.Y.,Eastport South Manor High School,,,,
Chris,Mazdzer,M,Luge,Singles,"2010, 2014",,,,"6'1""",215,2/8/2018,6/26/1988,29,Pittsfield,Mass.,Saranac Lake,N.Y.,DeVry University,,@Mazdzer,,
Taylor,Morris,M,Luge,Singles,,,,,"5'11""",188,2/8/2018,6/4/1991,26,Salt Lake City,Utah,Salt Lake City ,Utah,DeVry University,Sergeant - Army,@taylormorris91 ‏,,
Matt,Mortensen,M,Luge,Doubles,2014,,,,"6'0""",192,2/8/2018,12/11/1985,32,Huntington Station,N.Y.,Huntington Station,N.Y.,DeVry University,Sergeant - Army,@MMortensenUSA,,
Andrew,Sherk,M,Luge,Doubles,,,,,"5'8""",160,2/8/2018,4/15/1992,25,Fort Washington,Pa.,Fort Washington,Pa.,Upper Dublin High School,,,,
Jayson,Terdiman,M,Luge,Doubles,2014,,,,"5'7""",160,2/8/2018,12/21/1988,29,East Stroudsburg,Pa.,Berwick,Pa.,DeVry University,,@jterdimanUSA,,
Tucker,West,M,Luge,Singles,2014,,,,"6'1""",195,2/8/2018,6/15/1995,22,Danbury,Conn.,Ridgefield,Conn.,Union College ,,@tuckerwest1,,
Ben,Berend,M,Nordic Combined,TBD,,,,,"5'9""",145,2/8/2018,6/29/1995,22,Steamboat Springs,Colo.,Steamboat Springs,Colo.,University of Utah,,@BenjaminBerend,,
Bryan,Fletcher,M,Nordic Combined,TBD,2014,,,,"5'9""",140,2/8/2018,6/27/1986,31,Steamboat Springs,Colo.,Steamboat Springs,Colo.,Westminster College,,@skifletch,Yes,
Taylor,Fletcher,M,Nordic Combined,TBD,"2010, 2014",,,,"6'0""",155,2/8/2018,5/11/1990,27,Steamboat Springs,Colo.,Steamboat Springs,Colo.,Westminster College,,@tfletchernordic,,French
Jasper,Good,M,Nordic Combined,TBD,,,,,"6'2""",163,2/8/2018,5/10/1996,21,Steamboat Springs,Colo.,Steamboat Springs,Colo.,Univeristy of Utah,,@JasperGoodNC,,
Ben,Loomis,M,Nordic Combined,TBD,,,,,"6'1""",160,2/8/2018,6/9/1998,19,Eau Claire,Wis.,Eau Claire,Wis.,University of Utah,,@LenBoomis,,
Katie,Uhlaender,F,Skeleton,Women's Individual,"2006, 2010, 2014",,,,"5'4""",147,2/8/2018,7/17/1984,33,Vail,Colo.,Breckenridge,Colo.,Colorado Mountain College,,@katieu11,,"German, Spanish"
Kendall,Wesenberg,F,Skeleton,Women's Individual,,,,,"5'8""",152,2/8/2018,8/23/1990,27,Castro Valley,Calif.,Modesto,Calif.,University of Colorado Boulder,,@kendallorraine,,
Matt,Antoine,M,Skeleton,Men's Individual,2014,,,1,"6'3""",185,2/8/2018,4/2/1985,32,Prairie du Chien,Wis.,Prairie du Chien,Wis.,California University of Pennsylvania,,@mattantoine,,
John,Daly,M,Skeleton,Men's Individual,"2010, 2014",,,,"5'9""",175,2/8/2018,6/10/1985,32,Queens,N.Y.,Smithtown,N.Y.,State University of New York at Plattsburgh,,@JOHNDALYUSA,,
Nita,Englund,F,Ski Jumping,Individual Normal Hill,,,,,"5'7""",115,2/8/2018,6/10/1992,25,Iron Mountain ,Mich.,Florence,Wis.,DeVry University,,@nitaenglund,,
Sarah,Hendrickson,F,Ski Jumping,Individual Normal Hill,2014,,,,"5'4""",103,2/8/2018,8/1/1994,23,Salt Lake City,Utah,Park City,Utah,Utah State University,,@schendrickson,,
Abby,Ringquist,F,Ski Jumping,Individual Normal Hill,,,,,"5'8""",132,2/8/2018,6/21/1989,28,Salt Lake City,Utah,Park City,Utah,Westminster College,,@abbyringquist,,Spanish
Kevin,Bickner,M,Ski Jumping,TBD,,,,,"6'0""",138,2/8/2018,9/23/1996,21,Lake Forest,Ill.,Wauconda,Ill.,DeVry University,,@KevinBickner,,
Michael,Glasder,M,Ski Jumping,TBD,,,,,"6'0""",150,2/8/2018,3/27/1989,28,Lake Forest,Ill.,Cary,Ill.,DeVry University,,@Mglasder,,
Casey,Larson,M,Ski Jumping,TBD,,,,,"5'10""",142,2/8/2018,12/16/1998,19,Barrington,Ill.,Barrington,Ill.,Barrington High School,,@casey16larson,,Spanish
Will,Rhoads,M,Ski Jumping,TBD,,,,,"6'2""",153,2/8/2018,6/8/1995,22,Concord,N.H.,Park City,Utah,DeVry University,,@Will__Rhoads,,
Jamie,Anderson,F,Snowboarding,"Slopestyle, Big Air",2014,1,,,"5'2""",133,2/8/2018,9/13/1990,27,South Lake Tahoe,Calif.,South Lake Tahoe,Calif.,Home Schooled,,@JamieAsnow,,
Kelly,Clark,F,Snowboarding,Halfpipe,"2002, 2006, 2010, 2014",1,,2,"5'4""",135,2/8/2018,7/26/1983,34,Newport,R.I.,Mammoth Lakes,Calif.,Mount Snow Academy,,@thekellyclark ‏,,
Arielle,Gold,F,Snowboarding,Halfpipe,2014,,,,"5'4""",145,2/8/2018,5/4/1996,21,Steamboat Springs,Colo.,Steamboat Springs,Colo.,University of Colorado Boulder,,@arielletgold,,Spanish
Faye,Gulini,F,Snowboarding,Snowboardcross,"2010, 2014",,,,"5'4""",123,2/8/2018,3/24/1992,25,Salt Lake City,Utah,Salt Lake City,Utah,Westminster College,,@FayeGulini,,
Lindsey,Jacobellis,F,Snowboarding,Snowboardcross,"2006, 2010, 2014",,1,,"5'7""",138,2/8/2018,8/19/1985,32,Danbury,Conn.,Roxbury,Conn.,Stratton Mountain School,,@LindsJacobellis,,
Jessika,Jenson,F,Snowboarding,"Slopestyle, Big Air",2014,,,,"5'5""",127,2/8/2018,8/7/1981,36,Idaho Falls,Idaho,Rigby,Idaho,Utah State University,,@jessika_jenson,,
Chloe,Kim,F,Snowboarding,Halfpipe,,,,,"5'3""",115,2/8/2018,4/23/2000,17,Long Beach,Calif.,Torrance,Calif.,Mammoth High School,,@chloekimsnow,,"French, Korean"
Hailey,Langland,F,Snowboarding,"Slopestyle, Big Air",,,,,"5'2""",110,2/8/2018,8/2/2000,17,Irving,Calif.,San Clemente,Calif.,Keith McCarthy Academy,,@yung_hails,,
Rosie,Mancari,F,Snowboarding,Snowboardcross,,,,,"5'8""",170,2/8/2018,1/22/1994,24,Anchorage,Alaska,Anchorage,Alaska,University of Alaska Anchorage,,,,
Julia,Marino,F,Snowboarding,"Slopestyle, Big Air",,,,,"5'5""",125,2/8/2018,9/11/1997,20,Yonkers,N.Y.,Westport,Conn.,University of Nebraska High School,,@julia_marino,,French
Maddie,Mastro,F,Snowboarding,Halfpipe,,,,,"5'4""",110,2/8/2018,2/22/2000,17,Wrightwood,Calif.,Wrightwood,Calif.,Gorman Learning Center,,@maddie_mastro,,
Meghan,Tierney,F,Snowboarding,Snowboardcross,,,,,"5'9""",130,2/8/2018,1/15/1997,21,Long Branch,N.J.,Eagle,Colo.,Westminster College,,@meghanmtierney,,
Nick,Baumgartner,M,Snowboarding,Snowboardcross,"2010, 2014",,,,"6'0""",210,2/8/2018,12/17/1981,36,Iron River,Mich.,Iron River,Mich.,West Iron County High School,,@nickbaumgartner,Yes,
Jonathan,Cheever,M,Snowboarding,Snowboardcross,,,,,"5'10""",190,2/8/2018,4/17/1985,32,Boston,Mass.,Saugus,Mass.,University of Massachusetts Lowell,,@TeamCheever,,
Chris,Corning,M,Snowboarding,"Slopestyle, Big Air",,,,,"5'8""",165,2/8/2018,9/7/1999,18,Silverthorne,Colo.,Silverthorne,Colo.,Penn Foster High School,,,,
Mick,Dierdorff,M,Snowboarding,Snowboardcross,,,,,"5'9""",185,2/8/2018,4/30/1991,26,Bellevue,Wash.,Steamboat Springs,Colo.,University of Utah,,@mickdorff,,
Ben,Ferguson,M,Snowboarding,Halfpipe,,,,,"5'9""",165,2/8/2018,1/21/1995,23,Boise,Idaho,Bend,Ore.,Mountain View High School,,@BenFerguson001,,
Red,Gerard,M,Snowboarding,"Slopestyle, Big Air",,,,,"5'5""",116,2/8/2018,6/29/2000,17,Westlake,Ohio,Silverthorne,Colo.,Penn Foster High School,,@RedmondGerard,,
Chase,Josey,M,Snowboarding,Halfpipe,,,,,"5'11""",155,2/8/2018,3/31/1995,22,Hailey,Idaho,Hailey,Idaho,Community School,,,,
Hagen,Kearney,M,Snowboarding,Snowboardcross,,,,,"6'2""",175,2/8/2018,11/6/1991,26,Buffalo,N.Y.,Norwood,Colo.,Telluride Mountain School,,@HagenKearney,,
Kyle,Mack,M,Snowboarding,"Slopestyle, Big Air",,,,,"5'11""",170,2/8/2018,7/6/1997,20,Royal Oak,Mich.,West Bloomfield,Mich.,Brother Rice High School,,@_KyleMack,,
AJ,Muss,M,Snowboarding,Parallel Giant Slalom,,,,,"6'1""",220,2/8/2018,12/15/1994,23,New Brunswick,N.J.,Rumson,N.J.,Laurel Springs Academy,,@AjMuss,,
Jake,Pates,M,Snowboarding,Halfpipe,,,,,"5'7""",150,2/8/2018,7/30/1998,19,Boulder,Colo.,Eagle,Colo.,World Academy,,@jakepates,,
Ryan,Stassel,M,Snowboarding,"Slopestyle, Big Air",2014,,,,"5'11""",170,2/8/2018,10/23/1992,25,Anchorage,Alaska,Anchorage,Alaska,Service High School,,@RyanStassel,,
Mike,Trapp,M,Snowboarding,Parallel Giant Slalom,,,,,"5'8""",145,2/8/2018,7/10/1988,29,Hyannis,Mass.,Marstons Mills,Mass.,Barnstable High School,,,,
Shaun,White,M,Snowboarding,Halfpipe,"2006, 2010, 2014",2,,,"5'9""",154,2/8/2018,9/3/1986,31,San Diego,Calif.,Carlsbad,Calif.,Carlsbad High School,,@shaunwhite,,
Heather,Bergsma,F,Long Track Speedskating,"500, 1,000, 1,500, Mass Start, Team Pursuit","2010, 2014",,,,"5'11""",160,2/8/2018,3/20/1989,28,High Point,N.C.,High Point,N.C.,High Point Central High School,,@hlynnrichardson,,
Brittany,Bowe,F,Long Track Speedskating,"500, 1,000, 1,500, Team Pursuit",2014,,,,"5'7""",140,2/8/2018,2/24/1988,29,Ocala,Fla.,Ocala,Fla.,Florida Atlantic University,,@brittanybowe,,
Erin,Jackson,F,Long Track Speedskating,500,,,,,"5'4""",,2/8/2018,9/19/1992,25,Ocala,Fla.,Ocala,Fla.,University of Florida,,@ErinJackson480,,
Mia,Manganello,F,Long Track Speedskating,"1,500, Mass Start, Team Pursuit",,,,,"5'7""",140,2/8/2018,10/27/1989,28,Fort Walton Beach,Fla.,Crestview,Fla.,Cambridge Academy,,@Minn.mango89,,
Carlijn,Schoutens,F,Long Track Speedskating,"3,000, 5,000, Team Pursuit",,,,,"5'9""",153,2/8/2018,12/12/1994,23,Trenton,N.J.,West Jordan,Utah,Vrije Universiteit Amsterdam,,@CarIijn,,"Dutch/Afrikaans, German"
Jerica,Tandiman,F,Long Track Speedskating,"1,000",,,,,"5'3""",138,2/8/2018,11/2/1994,23,West Jordan,Utah,Kearns,Utah,DeVry University,,@jLanTan,,
Shani,Davis,M,Long Track Speedskating,"1,000, 1,500","2002, 2006, 2010, 2014",2,2,,"6'2""",185,2/8/2018,8/13/1982,35,Chicago,Ill.,Chicago,Ill.,Northern Michigan University,,@shanidavis,,
Jonathan,Garcia,M,Long Track Speedskating,"500, Team Pursuit",2014,,,,"5'7""",150,2/8/2018,12/14/1986,31,Houston,Texas,Houston,Texas,Salt Lake Community College,,@jagarcia23,,
Kimani,Griffin,M,Long Track Speedskating,500,,,,,"6'1""",178,2/8/2018,7/2/1990,27,Winston Salem,N.C.,Winston Salem,N.C.,Columbus State University,,,,
Brian,Hansen,M,Long Track Speedskating,"1,500, Mass Start, Team Pursuit","2010, 2014",,1,,"6'0""",180,2/8/2018,9/3/1990,27,Evanston,Ill.,Glenview,Ill.,University of Colorado Boulder,,@BrianTHansen,,
Emery,Lehman,M,Long Track Speedskating,"5,000, Team Pursuit",2014,,,,"6'0""",183,2/8/2018,6/13/1996,21,Chicago,Ill.,Oak Park,Ill.,Marquette University,,@TheEmeryLehman,,Spanish
Joey,Mantia,M,Long Track Speedskating,"1,000, 1,500, Mass Start, Team Pursuit",2014,,,,"5'8""",170,2/8/2018,2/7/1986,32,Ocala,Fla.,Ocala,Fla.,Vanguard High School,,@jrmantia,,
Mitch,Whitmore,M,Long Track Speedskating,"500, 1,000","2010, 2014",,,,"5'10""",170,2/8/2018,12/18/1989,28,Santa Ana,Calif.,Waukesha,Wash.,University of Wisconsin-Madison,,@WhitmoreUSA,,Spanish
Maame,Biney,F,Short Track Speedskating,"500, 1,500",,,,,"5'6""",150,2/8/2018,1/28/2000,18,Accra,Ghana,Reston,Va.,South Lakes High School,,@BineyMaame,,
Lana,Gehring,F,Short Track Speedskating,"500, 1,000, 1,500",2010,,,1,"5'9""",135,2/8/2018,8/21/1990,27,Glenview,Ill.,Glenview,Ill.,Glenbrook South High School,,@LanaGehring1,,
Jessica,Kooreman,F,Short Track Speedskating,"1,000, 1,500",2014,,,,"5'0""",118,2/8/2018,10/14/1983,34,Dearborn,Mich.,Melvindale,Mich.,Ashworth College,,@TheJessicaSmith,,
J.R.,Celski,M,Short Track Speedskating,"1,000, 1,500, 5,000 Relay","2010, 2014",,1,2,"5'8""",143,2/8/2018,7/17/1990,27,Monterey,Calif.,Federal Way,Wash.,"University of California, Berkeley ",,@jrcelski,,
Thomas,Hong,M,Short Track Speedskating,"500, 5,000 Relay",,,,,"5'8""",140,2/8/2018,7/2/1997,20,Seoul,South Korea,Laurel,Md.,"University of Maryland, College Park",,,,
John-Henry,Krueger,M,Short Track Speedskating,"500, 1,000, 1,500, 5,000 Relay",,,,,"5'10""",165,2/8/2018,3/27/1995,22,Pittsburgh,Pa.,Pittsburgh,Pa.,Bridge Academy,,@Real_JohnHenry,,
Ryan,Pivirotto,M,Short Track Speedskating,"5,000 Relay",,,,,"5'5""",137,2/8/2018,5/14/1995,22,Ann Arbor,Mich.,Ann Arbor,Mich.,,,,,
Aaron,Tran,M,Short Track Speedskating,"500, 1,500, 5,000 Relay",,,,,"5'7""",160,2/8/2018,7/24/1996,21,San Francisco,Calif.,Federal Way,Wash.,Highline Community College,,@AaronVaughnTran,,
